,year,date,stream,total_value,total_volume,ma_volume,ma_value,day
202,2020,7/14/2020,S-Image Returns,5878719.86,804,1003.2,5657367.082,7/14/2021
203,2020,7/14/2020,U-Unqualified,1554852.62,789,760.4,1466188.562,7/14/2021
204,2020,7/14/2020,V-SET,0,0,0,0,7/14/2021
205,2020,7/14/2020,X-EDI,740669564.8,14990,15940,556431934.4,7/14/2021
206,2020,7/14/2020,Y-Remittances,1179901005,2250687,1778772,977858333.1,7/14/2021
207,2020,7/14/2020,Z-Computer Rejects,1261150.29,230,245,2177885.628,7/14/2021
208,2020,7/15/2020,A-ABM Adjust.,5903.69,36,38.4,6749.272,7/15/2021
209,2020,7/15/2020,B-CSB,679224.02,394,350.2,432608.194,7/15/2021
210,2020,7/15/2020,C-AFT Credit,6760261216,1508011,2345134.8,8791120876,7/15/2021
211,2020,7/15/2020,D-AFT Debit,2969070153,2285494,2639922.4,3088031208,7/15/2021
212,2020,7/15/2020,E-Encoded Paper,598234640,31924,35881.8,574948059.3,7/15/2021
213,2020,7/15/2020,F-Remittances,2340933.32,2241,1900.4,1800278.486,7/15/2021
214,2020,7/15/2020,G-Rec Gen Warr,400636226.8,278229,303982,382851086.5,7/15/2021
215,2020,7/15/2020,H-Bonds & Coupon,0,0,1.2,280.8,7/15/2021
216,2020,7/15/2020,I-Images,760.24,1,0.2,152.048,7/15/2021
217,2020,7/15/2020,J-Online Cr Pmt,8057524.54,13657,18079,7010110.506,7/15/2021
218,2020,7/15/2020,K-Online Pmt Ref,46319.03,269,390.6,55844.21,7/15/2021
219,2020,7/15/2020,M-Gov Direc Dep,1181874722,425044,1246491.4,1490353098,7/15/2021
220,2020,7/15/2020,N-Shared Network,48532027.49,298887,466262.6,74607240.08,7/15/2021
221,2020,7/15/2020,O-Images,7079613049,1037700,1189183.4,7469512644,7/15/2021
222,2020,7/15/2020,P-POS - DR,573356088.6,14364162,20846146,860219696.4,7/15/2021
223,2020,7/15/2020,Q-POS - CR,7957124.15,117200,162346,10940937.92,7/15/2021
224,2020,7/15/2020,R-Image Returns,0,0,0,0,7/15/2021
225,2020,7/15/2020,S-Image Returns,6902091.06,1234,931,5558273.06,7/15/2021
226,2020,7/15/2020,U-Unqualified,1313402.37,795,769.2,1491678.902,7/15/2021
227,2020,7/15/2020,V-SET,0,0,0,0,7/15/2021
228,2020,7/15/2020,X-EDI,467600221,10887,15766.6,554227328.2,7/15/2021
229,2020,7/15/2020,Y-Remittances,1148693194,2024984,1753914.8,961846963.5,7/15/2021
230,2020,7/15/2020,Z-Computer Rejects,4484106.32,304,248,2368220.45,7/15/2021
231,2020,7/16/2020,A-ABM Adjust.,6145.46,30,38.2,6932.008,7/16/2021
232,2020,7/16/2020,B-CSB,224876.39,333,372.2,438265.59,7/16/2021
233,2020,7/16/2020,C-AFT Credit,15878360565,3156008,2702958.6,10680059830,7/16/2021
234,2020,7/16/2020,D-AFT Debit,4832451648,6108642,3489385.6,3477352672,7/16/2021
235,2020,7/16/2020,E-Encoded Paper,1409148816,32143,35078.4,768960909.1,7/16/2021
236,2020,7/16/2020,F-Remittances,2274112.32,1684,1884.6,1900108.634,7/16/2021
237,2020,7/16/2020,G-Rec Gen Warr,368133182.5,269465,313580.4,383917892.4,7/16/2021
238,2020,7/16/2020,H-Bonds & Coupon,0,0,1.2,280.8,7/16/2021
239,2020,7/16/2020,I-Images,0,0,0.2,152.048,7/16/2021
240,2020,7/16/2020,J-Online Cr Pmt,10932983.96,15371,18419.8,8225857.974,7/16/2021
241,2020,7/16/2020,K-Online Pmt Ref,27356.28,229,349.6,47533.924,7/16/2021
242,2020,7/16/2020,M-Gov Direc Dep,1121241832,279215,1191134.6,1425221404,7/16/2021
243,2020,7/16/2020,N-Shared Network,53645672.43,304883,456234.8,72922997.73,7/16/2021
244,2020,7/16/2020,O-Images,8562204488,1123674,1199021.4,7693899768,7/16/2021
245,2020,7/16/2020,P-POS - DR,590214674.9,14727944,20851736.4,854212777.6,7/16/2021
246,2020,7/16/2020,Q-POS - CR,7763084.39,114872,161945,10923514.56,7/16/2021
247,2020,7/16/2020,R-Image Returns,0,0,0,0,7/16/2021
248,2020,7/16/2020,S-Image Returns,14629183.59,786,880,7637108.37,7/16/2021
249,2020,7/16/2020,U-Unqualified,4285506.12,811,817.2,2139969.286,7/16/2021
250,2020,7/16/2020,V-SET,0,0,0,0,7/16/2021
251,2020,7/16/2020,X-EDI,1153097318,19575,16624.8,699086836.8,7/16/2021
252,2020,7/16/2020,Y-Remittances,762530168.3,1353098,1747822.4,952956274,7/16/2021
253,2020,7/16/2020,Z-Computer Rejects,2410880.32,234,242.6,2279451.048,7/16/2021
254,2020,7/17/2020,A-ABM Adjust.,7360.24,43,38.4,6912.246,7/17/2021
255,2020,7/17/2020,B-CSB,332754.56,387,386.4,403437.388,7/17/2021
256,2020,7/17/2020,C-AFT Credit,10858388220,3922911,2780817.2,10870714511,7/17/2021
257,2020,7/17/2020,D-AFT Debit,2725606739,3266419,3719913.8,3556506293,7/17/2021
258,2020,7/17/2020,E-Encoded Paper,670107382.1,31675,34844.2,775005088.9,7/17/2021
259,2020,7/17/2020,F-Remittances,3036298.87,1820,1846.2,2236672.504,7/17/2021
260,2020,7/17/2020,G-Rec Gen Warr,392585375.1,247113,307468.6,395268501.4,7/17/2021
261,2020,7/17/2020,H-Bonds & Coupon,105.32,1,1,206.064,7/17/2021
262,2020,7/17/2020,I-Images,0,0,0.2,152.048,7/17/2021
263,2020,7/17/2020,J-Online Cr Pmt,6129381.47,13746,18423,8480559.106,7/17/2021
264,2020,7/17/2020,K-Online Pmt Ref,34136.03,205,346.4,49223.62,7/17/2021
265,2020,7/17/2020,M-Gov Direc Dep,759745572.3,152969,440212.4,1229669149,7/17/2021
266,2020,7/17/2020,N-Shared Network,61974722.26,332316,448118,72279755.54,7/17/2021
267,2020,7/17/2020,O-Images,8170256176,1140630,1207752.4,7940717782,7/17/2021
268,2020,7/17/2020,P-POS - DR,656299926,15670225,20827938.8,851569768.7,7/17/2021
269,2020,7/17/2020,Q-POS - CR,7933306.81,119298,161660.6,10889400.18,7/17/2021
270,2020,7/17/2020,R-Image Returns,0,0,0,0,7/17/2021
271,2020,7/17/2020,S-Image Returns,5277011.34,869,884.4,7545864.754,7/17/2021
272,2020,7/17/2020,U-Unqualified,3627709.64,899,808.8,2517206.822,7/17/2021
273,2020,7/17/2020,V-SET,0,0,0,0,7/17/2021
274,2020,7/17/2020,X-EDI,698865713.4,24681,17420,722716064.8,7/17/2021
275,2020,7/17/2020,Y-Remittances,967280619.1,1581841,1765503,981220886.3,7/17/2021
276,2020,7/17/2020,Z-Computer Rejects,1898523.43,223,235.8,2132387.452,7/17/2021
277,2020,7/20/2020,A-ABM Adjust.,13483.6,59,41.6,8262.208,7/20/2021
278,2020,7/20/2020,B-CSB,140303.89,235,363.4,392337.364,7/20/2021
279,2020,7/20/2020,C-AFT Credit,11502252380,3360353,2749023.6,10783312111,7/20/2021
280,2020,7/20/2020,D-AFT Debit,3085036972,3105782,3663662.6,3442845026,7/20/2021
281,2020,7/20/2020,E-Encoded Paper,567508613.3,35003,34850.4,733682031.8,7/20/2021
282,2020,7/20/2020,F-Remittances,3981780.66,1773,1815.8,2670313.296,7/20/2021
